Requirements:  APPLICATION_NAME=decompaction  INSTANCE  TOTAL_2D_GRIDPOINTS  TOTAL_3D_GRIDPOINTS  X_GRIDPOINTS  Y_GRIDPOINTS  ZP_SEGMENTS  Z_SEGMENTS  ZT_SEGMENTS  CRUST_SEGMENTS  MANTLE_SEGMENTS  NUMBER_OF_EVENTS  RESERVOIRS  SOURCE_ROCKS  
0FaultTest01_ScaleXY_2_0_decompaction_2_1.tag  0FaultTest01_ScaleXY_2  5859  35154  93  63  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_2_0_decompaction_1_1.tag  0FaultTest01_ScaleXY_2  5859  35154  93  63  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_2_0_decompaction_4_1.tag  0FaultTest01_ScaleXY_2  5859  35154  93  63  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_4_0_decompaction_1_1.tag  0FaultTest01_ScaleXY_4  1504  9024  47  32  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_4_0_decompaction_2_1.tag  0FaultTest01_ScaleXY_4  1504  9024  47  32  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_2_0_decompaction_8_1.tag  0FaultTest01_ScaleXY_2  5859  35154  93  63  4  17  17  8  5  3  1  ---  
0FaultTest01_none_none_0_decompaction_8_1.tag  0FaultTest01_none_none  23125  138750  185  125  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_8_0_decompaction_2_1.tag  0FaultTest01_ScaleXY_8  384  2304  24  16  4  17  17  8  5  3  1  ---  
0FaultTest01_none_none_0_decompaction_16_1.tag  0FaultTest01_none_none  23125  138750  185  125  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_4_0_decompaction_8_1.tag  0FaultTest01_ScaleXY_4  1504  9024  47  32  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_8_0_decompaction_4_1.tag  0FaultTest01_ScaleXY_8  384  2304  24  16  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_8_0_decompaction_8_1.tag  0FaultTest01_ScaleXY_8  384  2304  24  16  4  17  17  8  5  3  1  ---  
0FaultTest01_ScaleXY_2_0_decompaction_16_1.tag  0FaultTest01_ScaleXY_2  5859  35154  93  63  4  17  17  8  5  3  1  ---  
89_Acquifer_mig_none_none_0_decompaction_2_1.tag  89_Acquifer_mig_none_none  441  24255  21  21  53  66  66  8  5  10  1  1  
30_30_Regional_A_none_none_0_decompaction_4_1.tag  30_30_Regional_A_none_none  115710  10413900  406  285  88  101  101  8  5  43  2  1  
30_30_Regional_A_ScaleXY_2_0_decompaction_4_1.tag  30_30_Regional_A_ScaleXY_2  29029  2554552  203  143  86  99  99  8  5  43  2  1  
30_30_Regional_A_none_none_0_decompaction_2_1.tag  30_30_Regional_A_none_none  115710  10413900  406  285  88  101  101  8  5  43  2  1  
89_Acquifer_mig_none_none_0_decompaction_4_1.tag  89_Acquifer_mig_none_none  441  24255  21  21  53  66  66  8  5  10  1  1  
30_30_Regional_A_none_none_0_decompaction_1_1.tag  30_30_Regional_A_none_none  115710  10413900  406  285  88  101  101  8  5  43  2  1  
30_30_Regional_A_ScaleXY_4_0_decompaction_1_1.tag  30_30_Regional_A_ScaleXY_4  7344  616896  102  72  82  95  95  8  5  43  2  1  
30_30_Regional_A_ScaleXY_2_0_decompaction_1_1.tag  30_30_Regional_A_ScaleXY_2  29029  2554552  203  143  86  99  99  8  5  43  2  1  
30_30_Regional_A_ScaleXY_2_0_decompaction_2_1.tag  30_30_Regional_A_ScaleXY_2  29029  2554552  203  143  86  99  99  8  5  43  2  1  
30_30_Regional_A_ScaleXY_4_0_decompaction_4_1.tag  30_30_Regional_A_ScaleXY_4  7344  616896  102  72  82  95  95  8  5  43  2  1  
30_30_Regional_A_ScaleXY_2_0_decompaction_8_1.tag  30_30_Regional_A_ScaleXY_2  29029  2554552  203  143  86  99  99  8  5  43  2  1  
30_30_Regional_A_ScaleXY_8_0_decompaction_1_1.tag  30_30_Regional_A_ScaleXY_8  1836  148716  51  36  79  92  92  8  5  43  2  1  
30_30_Regional_A_ScaleXY_4_0_decompaction_2_1.tag  30_30_Regional_A_ScaleXY_4  7344  616896  102  72  82  95  95  8  5  43  2  1  
30_30_Regional_A_none_none_0_decompaction_8_1.tag  30_30_Regional_A_none_none  115710  10413900  406  285  88  101  101  8  5  43  2  1  
30_30_Regional_A_ScaleXY_8_0_decompaction_4_1.tag  30_30_Regional_A_ScaleXY_8  1836  148716  51  36  79  92  92  8  5  43  2  1  
